code,foodName,details.description,details.group,details.previous,details.references,details.footnote,factors.edibleProportion,factors.specificGravity,factors.totalSolids,factors.nitrogenConversionFactor,factors.glycerolConversionFactor,proximates.WATER,proximates.TOTNIT,proximates.PROT,proximates.FAT,proximates.CHO,proximates.KCALS,proximates.KJ,proximates.STAR,proximates.OLIGO,proximates.TOTSUG,proximates.GLUC,proximates.GALACT,proximates.FRUCT,proximates.SUCR,proximates.MALT,proximates.LACT,proximates.ALCO,proximates.ENGFIB,proximates.AOACFIB,proximates.SATFAC,proximates.SATFOD,proximates.TOTn6PFAC,proximates.TOTn6PFOD,proximates.TOTn3PFAC,proximates.TOTn3PFOD,proximates.MONOFACc,proximates.MONOFODc,proximates.MONOFAC,proximates.MONOFOD,proximates.POLYFACc,proximates.POLYFODc,proximates.POLYFAC,proximates.POLYFOD,proximates.SATFACx6,proximates.SATFODx6,proximates.TOTBRFAC,proximates.TOTBRFOD,proximates.FACTRANS,proximates.FODTRANS,proximates.CHOL,inorganics.NA,inorganics.K,inorganics.CA,inorganics.MG,inorganics.P,inorganics.FE,inorganics.CU,inorganics.ZN,inorganics.CL,inorganics.MN,inorganics.SE,inorganics.I,inorganics.RET,inorganics.CAREQU,inorganics.RETEQU,inorganics.VITD,inorganics.VITE,inorganics.VITK1,inorganics.THIA,inorganics.RIBO,inorganics.NIAC,inorganics.TRYP60,inorganics.NIACEQU,inorganics.VITB6,inorganics.VITB12,inorganics.FOLT,inorganics.PANTO,inorganics.BIOT,inorganics.VITC,vitamin_fractions.ALTRET,vitamin_fractions.13CISRET,vitamin_fractions.DEHYRET,vitamin_fractions.RETALD,vitamin_fractions.ACAR,vitamin_fractions.BCAR,vitamin_fractions.CRYPT,vitamin_fractions.LUT,vitamin_fractions.LYCO,vitamin_fractions.25OHD3,vitamin_fractions.VITD3,vitamin_fractions.5METHF,vitamin_fractions.ATOPH,vitamin_fractions.BTOPH,vitamin_fractions.DTOPH,vitamin_fractions.GTOPH,vitamin_fractions.ATOTR,vitamin_fractions.GTOTR,SFA.FOD4,SFA.FOD6,SFA.FOD8_0,SFA.FOD10_0,SFA.FOD11_0xb,SFA.FOD12_0,SFA.FOD12_0xb,SFA.FOD13_0,SFA.FOD13_0xb,SFA.FOD14_0,SFA.FOD14_0xb,SFA.FOD15_0,SFA.FOD15_0xb,SFA.FOD16_0,SFA.FOD16_0xb,SFA.FOD17_0,SFA.FOD17_0xb,SFA.FOD18_0,SFA.FOD18_0xb,SFA.FOD19_0,SFA.FOD20_0,SFA.FOD20_0xb,SFA.FOD22_0,SFA.FOD22_0xb,SFA.FOD24_0,SFA.FOD24_0xb,SFA.FOD25_0xb,MUFA.FOD10_1,MUFA.FOD10_1c,MUFA.FOD12_1,MUFA.FOD12_1c,MUFA.FOD14_1,MUFA.FOD14_1c,MUFA.FOD15_1,MUFA.FOD15_1c,MUFA.FOD16_1,MUFA.FOD16_1c,MUFA.FOD17_1,MUFA.FOD17_1c,MUFA.FOD18_1,MUFA.FOD18_1c,MUFA.FOD18_1n9,MUFA.FOD18_1n7,MUFA.FOD20_1,MUFA.FOD20_1c,MUFA.FOD22_1,MUFA.FOD22_1c,MUFA.FOD22_1n11,MUFA.FOD22_1n9,MUFA.FOD24_1,MUFA.FOD24_1c,MUFA.MONOFODtr,PUFA.FOD16_2,PUFA.FOD16_2c,PUFA.FOD16_3,PUFA.FOD16_4,PUFA.FOD16_4c,PUFA.FOD16 poly,PUFA.FOD18_2,PUFA.FOD18_2cn6,PUFA.FOD18_3,PUFA.FOD18_3cn3,PUFA.FOD18_3cn6,PUFA.FOD18_4,PUFA.FOD18_4cn3,PUFA.FOD18 poly,PUFA.FOD20_2,PUFA.FOD20_2cn6,PUFA.FOD20_3,PUFA.FOD20_3cn6,PUFA.FOD20_4,PUFA.FOD20_4cn6,PUFA.FOD20_5,PUFA.FOD20_5cn3,PUFA.FOD20 poly,PUFA.FOD21_5,PUFA.FOD21_5cn3,PUFA.FOD22_2,PUFA.FOD22_2cn6,PUFA.FOD22_3cn6,PUFA.FOD22_4,PUFA.FOD22_4cn6,PUFA.FOD22_5,PUFA.FOD22_5cn3,PUFA.FOD22_6,PUFA.FOD22_6cn3,PUFA.FOD22 poly,PUFA.POLYFODtr,phytosterols.TotalPHYTO,phytosterols.OtherCHOLandPHYTO,phytosterols.PHYTO,phytosterols.BSITPHYTO,phytosterols.BRASPHYTO,phytosterols.CAMPHYTO,phytosterols.D5AVEN,phytosterols.D7AVEN,phytosterols.D7STIG,phytosterols.STIGPHYTO,organic_acids.CITA
13-145,"Ackee, canned, drained",8 cans,DG,554,"MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991",,N,,,,0.8,76.7,0.46,2.9,15.2,0.8,151,625,Tr,,0.8,0.1,0,Tr,0.7,0,0,,N,,,N,4.3,0.52,0.6,0.07,58.5,7.11,,N,4.9,0.6,,N,36.5,4.44,0.1,0.01,0,0,0,240,270,35,40,47,0.70,0.27,0.6,340,N,N,Tr,0,N,N,0.0,N,,0.03,0.07,0.6,0.5,1.1,0.06,0.0,41,N,N,30,,,,,0,0,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,,,,0.01,,0.00,,3.02,,0.01,,1.31,,,0.07,,0.01,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.05,,0.00,,7.02,6.92,0.10,,0.05,,0.00,0.00,0.00,,0.00,0.00,,,,,,,,0.57,,0.07,0.00,,0.00,,,,,0.00,,0.00,,0.00,,,,,,,,0.00,,0.00,,0.00,,0.00,17.9,0.8,N,4.8,0.0,0.3,0.0,,,12.0,
13-146,"Agar, dried",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,1,,,,,9.7,0.26,1.3,1.2,Tr,16,67,0,,Tr,0,0,0,0,0,0,,81.1,,,0.3,,,,,,,,0.1,,,,0.4,,,,,,,0,110,110,760,620,50,20.60,N,14.4,N,4.30,N,N,0,0,0,0.0,Tr,,0.01,0.22,0.2,N,N,Tr,0.0,0,Tr,Tr,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tr,,,,,,,,
13-147,"Agar, dried, soaked and drained",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,1,,,,,84.2,0.03,0.2,0.1,Tr,2,7,0,,Tr,0,0,0,0,0,0,,15,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0,10,20,110,75,8,3.50,N,2.5,N,0.40,N,N,0,0,0,0.0,Tr,,0.01,0.04,0.1,N,N,Tr,0.0,0,Tr,Tr,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tr,,,,,,,,
13-148,"Alfalfa sprouts, raw",Analytical and literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,1,,,,,93.4,0.64,4,0.7,0.4,24,100,Tr,,0.3,0.1,0,0.2,Tr,0,0,,1.7,,,N,,,,,,,,N,,,,N,,,,,,,0,6,79,32,27,70,1.00,0.16,0.9,N,0.20,N,N,0,96,16,0.0,N,,0.04,0.06,0.5,0.6,1.1,0.03,0.0,36,0.56,N,2,,,,,0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
13-801,"Allspice, ground",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1,,,,,8.5,0.98,6.1,8.7,N,N,N,N,,N,N,0,N,N,0,0,,N,,,2.5,,,,,,,,0.7,,,,2.4,,,,,,,0,77,1040,660,130,110,7.10,0.55,1.0,N,1.70,N,N,0,325,54,0.0,N,,0.10,0.06,2.9,N,N,N,0.0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,
14-870,"Almonds, flaked and ground",10 samples,GA,14-801 14-855 50-972 ,"Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994",,1,,,5.18,0.956,4.2,4.07,21.1,55.8,6.9,612,2534,2.7,,4.2,Tr,,Tr,4.2,0,0,0,7.4,N,,4.43,19.1,10.19,0.5,0.27,71.6,38.19,,38.19,19.6,10.46,,10.46,8.3,4.43,0,0,0,0,0,14,780,240,270,550,3.00,1.00,3.2,18,1.70,2,2,0,0,0,0.0,23.96,,0.21,0.75,3.1,3.4,6.5,0.15,0.0,48,0.44,64.0,0,,,,,0,0,,,,,,,23.77,0.26,0.00,0.81,,,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.05,0.05,0.00,0.00,3.36,3.36,0.00,0.00,0.91,0.91,,0.11,0.11,0.00,,0.00,0.00,,,0.00,,0.00,,0.00,,0.00,,0.37,,0.00,,37.82,37.82,0.00,,0.00,,0.00,0.00,0.00,,0.00,0.00,,,,,,,,10.19,,0.27,0.00,,0.00,,,,,0.00,,0.00,,0.00,,,,,,,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,
14-897,"Almonds, toasted",Literature sources,GA,14-803,"USDA SR28, 2015",,1,,,5.18,0.956,2.4,4.05,21,52.5,5.9,579,2394,0.8,,5.1,Tr,Tr,Tr,5,0.1,0,0,N,10.9,,4.09,,,,,,,,33.08,,,,12.96,,,,,,0.01,0,3,713,268,279,471,3.73,1.10,3.3,18,2.23,2,2,0,1,Tr,0.0,23.90,0.00,0.08,1.20,3.6,3.5,7.1,0.14,0.0,55,0.32,49.0,0,,,,,0,1,0,,0,,,,23.70,0.32,0.09,0.72,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.02,,0.00,0.00,3.35,,0.01,,0.70,,,0.01,,Tr,,0.00,0.00,,,,,,0.00,0.00,0.00,0.00,0.26,,0.06,,32.75,32.75,,,0.01,,0.00,0.00,0.00,0.00,,0.00,,,,,,,,12.95,12.95,0.01,0.01,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,,,,0.00,,0.00,,,,,,122.0,,4.0,,,,4.0,
14-898,"Almonds, weighed with shells",Calculated from 14-896,GA,14-883,"USDA SR28, 2015",,0.37,,,5.18,0.956,1.6,1.51,7.8,18.5,1.9,205,847,0.3,,1.6,0.1,Tr,Tr,1.5,Tr,0,0,N,4.6,,1.41,,,,,,,,11.67,,,,4.56,,,,,,0.01,0,Tr,271,100,100,178,1.37,0.38,1.2,7,0.81,2,1,0,Tr,Tr,0.0,9.48,0.00,0.08,0.42,1.3,1.3,2.6,0.05,0.0,16,0.17,23.7,0,,,,,0,Tr,0,,0,,,,9.42,0.09,0.03,0.24,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,Tr,,0.00,0.00,1.14,,Tr,,0.26,,,Tr,,Tr,,0.00,0.00,,,,,,0.00,0.00,0.00,0.00,0.09,0.08,Tr,,11.58,11.58,,,Tr,,0.00,0.00,0.00,0.00,,0.00,,,,,,,,4.56,4.56,Tr,Tr,0.00,0.00,,,,Tr,0.00,0.00,0.00,0.00,,0.00,,,,,,,,,,0.00,,0.00,,,,,,48.1,,1.9,,,,1.5,
14-896,"Almonds, whole kernels","Literature sources, Prunus dulcis",GA,,"USDA SR28, 2015",,1,,,5.18,0.956,4.4,4.09,21.2,49.9,5.3,554,2292,0.8,,4.5,0.2,0.1,0.1,4.1,Tr,0,0,N,12.5,,3.8,,,,,,,,31.55,,,,12.33,,,,,,0.02,0,1,733,269,270,481,3.71,1.03,3.1,18,2.18,4,2,0,1,Tr,0.0,25.63,0.00,0.21,1.14,3.6,3.4,7.0,0.14,0.0,44,0.47,64.0,0,,,,,0,1,0,,0,,,,25.47,0.23,0.07,0.64,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,Tr,,0.00,0.00,3.08,,Tr,,0.70,,,0.01,,Tr,,0.00,0.00,,,,,,0.00,0.00,0.00,0.00,0.24,0.23,0.01,,31.29,31.29,,,0.01,,0.00,0.00,0.00,0.00,,0.00,,,,,,,,12.32,12.32,Tr,Tr,0.00,0.00,,,,Tr,0.00,0.00,0.00,0.00,,0.00,,,,,,,,,,0.00,,0.00,,,,,,130.0,,5.0,,,,4.0,
13-150,"Amaranth leaves, boiled in unsalted water",Calculation from raw,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,1,,,,,90.4,0.48,3,0.3,0.3,16,67,0.1,,0.2,Tr,0,0.2,Tr,0,0,,N,,,0.1,,,,,,,,0.1,,,,0.1,,,,,,,0,11,540,220,110,54,2.40,0.11,0.5,12,0.90,N,N,0,1490,245,0.0,N,,0.03,0.16,0.7,0.8,1.5,N,0.0,51,N,N,31,,,,,160,1370,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
